id;business_date;status;confirmed_by_username;confirmed_at;reopened_by_username;reopened_at;office_id
1;2026-08-11;OPEN;jovially unfit;2026-08-10T19:05:41;apud;2026-08-10T23:34:12;1
2;2026-08-10;OPEN;why SUV;2026-08-11T06:18:33;typeface paralyse minus;2026-08-10T17:37:39;2
3;2026-08-11;CLOSED;noxious curiously across;2026-08-10T21:59:57;blushing sometimes softly;2026-08-11T00:17:56;3
4;2026-08-10;REOPENED;underneath;2026-08-11T12:49:35;ouch;2026-08-10T21:27:50;4
5;2026-08-11;OPEN;unlike chatter ack;2026-08-11T06:47:25;deliberately baseboard;2026-08-10T16:55:29;5
6;2026-08-11;OPEN;whoa though celsius;2026-08-11T11:24:53;incidentally abaft queasily;2026-08-11T03:05:35;6
7;2026-08-11;REOPENED;whole aside hence;2026-08-11T14:11:46;aha;2026-08-11T12:52:40;7
8;2026-08-11;OPEN;throughout gazebo regarding;2026-08-10T21:27:35;personalise;2026-08-11T10:19:21;8
9;2026-08-10;CLOSED;floodlight utilization;2026-08-11T02:49:42;sore failing reference;2026-08-11T05:49:10;9
10;2026-08-11;REOPENED;really;2026-08-10T16:46:50;gee;2026-08-11T14:48:20;10
