id;kind;min_kg;max_kg;min_km;max_km;fee_amount;active
1;PICKUP;31887.93;32489.63;24071.64;18717.41;20827.56;true
2;PICKUP;11315.86;2990.06;15564.15;25599.75;19282.64;true
3;PICKUP;963.81;21979.16;20309.75;9542.11;32119.29;true
4;DELIVERY;22546.79;20755.41;18289.02;13620.78;6607.34;false
5;DELIVERY;2682.48;1155.61;13698.87;29601.75;14019.65;false
6;DELIVERY;26273.58;26603.6;30026.61;30169.75;8193.29;true
7;PICKUP;27923.64;22841.2;14198.86;23767.82;29733.21;false
8;DELIVERY;29132.66;31281.66;25944.38;1885.02;25719.77;true
9;PICKUP;28372.29;20710.12;10318.48;32129.94;17610.42;true
10;PICKUP;16869.82;28121.91;20541.98;8341.93;28801.18;false
