id;code;name;office_type;is_hub;active
1;er accompany;ah amnesty who;COUNTER;false;false
2;even thoroughly uh-h;steep oof;WAREHOUSE;false;false
3;beside;yowza aw;COUNTER;false;true
4;evenly which;now brr;WAREHOUSE;true;false
5;huzzah content tooth;or upright lined;BRANCH;true;true
6;ew;yippee past;COUNTER;false;false
7;near ashamed with;quarrelsomely lanky shakily;BRANCH;true;false
8;cuckoo;ugh huzzah careless;BRANCH;true;true
9;faithfully er;the extricate;BRANCH;false;false
10;rubric cinema prehea;inasmuch via whether;BRANCH;false;true
