id;requested_fare_amount;reason;requested_by_username;requested_at;status;approved_by_username;approved_at;rejected_by_username;rejected_at
1;12744.29;kindheartedly simplistic;hm continually scented;2026-08-11T06:56:13;APPROVED;since eek;2026-08-11T09:32:24;gripper;2026-08-11T08:42:12
2;5501.78;geez hmph gah;aw vibration quarterly;2026-08-11T13:54:02;REJECTED;owlishly;2026-08-11T10:21:46;yet dimly;2026-08-11T04:07:36
3;29257.01;yet unless making;rough since;2026-08-10T19:27:28;PENDING;invite testing loosely;2026-08-11T02:51:34;brr scoff;2026-08-11T02:30:30
4;13506.78;camouflage seldom entwine;councilman;2026-08-11T03:05:49;REJECTED;helplessly by selfishly;2026-08-10T20:37:27;eek;2026-08-11T10:22:19
5;23813.13;ultimately hmph;wrongly fledgling;2026-08-10T22:43:35;APPROVED;fortunately pish;2026-08-11T14:09:54;monocle geez lighthearted;2026-08-11T08:32:00
6;10983.92;fairly now if;musty;2026-08-11T01:48:44;PENDING;absent bakeware;2026-08-10T18:10:33;amongst enthusiastically;2026-08-11T00:14:12
7;6554.93;zowie;what freely jet;2026-08-11T01:27:10;APPROVED;never syringe;2026-08-11T13:16:00;irresponsible;2026-08-11T01:13:17
8;25187.11;sugary huzzah climb;forgery oh braid;2026-08-11T04:02:33;APPROVED;fooey;2026-08-11T05:46:32;reproachfully phooey;2026-08-11T05:32:46
9;32054.26;hygienic;about overconfidently;2026-08-11T11:28:12;PENDING;absent bonfire instead;2026-08-10T18:39:46;warm usually in;2026-08-10T20:16:02
10;3857.49;though plus preregister;brr apud;2026-08-10T18:38:46;PENDING;since major;2026-08-11T00:08:52;guilt until;2026-08-11T03:02:11
