id;issue_type;issue_status;reason;opened_at;opened_by_username;resolved_at;resolved_by_username;resolution_note
1;EXCEPTION;CLOSED;indeed lustrous;2026-08-10T21:24:38;meanwhile fairly;2026-08-11T12:22:44;chapel although redact;yum what
2;EXCEPTION;RESOLVED;bashfully yet;2026-08-10T15:21:56;aha rarely;2026-08-10T20:47:56;without;ew obvious unto
3;LOST;RESOLVED;capitalize convoke;2026-08-10T21:44:34;woot supposing;2026-08-10T18:41:43;continually;digestive
4;DAMAGED;RESOLVED;formal yowza huzzah;2026-08-10T20:02:59;swathe;2026-08-10T19:55:17;fooey heavily;chunter impractical dutiful
5;EXCEPTION;OPEN;reproachfully scared;2026-08-10T22:55:48;nor;2026-08-10T22:21:18;mosh unbearably ouch;muted bug
6;LOST;OPEN;electric leap caption;2026-08-11T06:24:25;whoever;2026-08-11T06:47:29;boo ah times;neck
7;LOST;OPEN;after ugh;2026-08-11T04:37:41;absentmindedly valiantly skateboard;2026-08-11T06:47:12;drain amidst diligently;frilly
8;LOST;RESOLVED;drab eek amendment;2026-08-10T19:37:54;outsource;2026-08-10T21:30:02;deployment;while kinase midst
9;EXCEPTION;RESOLVED;hm underneath;2026-08-10T17:44:02;ascertain anxiously;2026-08-11T03:43:39;lovingly whereas;yippee athwart disconnection
10;LOST;CLOSED;uh-huh that;2026-08-11T00:30:39;elegantly nor;2026-08-11T14:03:14;gah crackle;busily hmph
