id;line_no;item_name;quantity;weight_kg;length_cm;width_cm;height_cm;declared_value_amount;fare_amount;note;order_id
1;30804;whirlwind silt;16452;10084.24;15969.89;4479.11;3287.2;21100.33;21499.21;ascertain remand;1
2;20913;deduct humor;8536;32034.19;3634.99;3172.44;8289.94;19169.78;12245.47;off unaccountably ha;2
3;24179;eminent;24909;24003;13097.28;4576.18;15033.95;30615.43;15426.42;yuck remorseful;3
4;2667;to remark lyre;11184;22893.62;6387.44;7850.29;27246.47;32101.14;9586.22;illiterate monstrous zowie;4
5;14480;weep swiftly;19322;8078.97;24731.21;30851.41;12409.51;2309.41;14703.83;stack rim among;5
6;17945;farmer;615;30474.76;15060.84;23691.12;30494.57;20264.9;2600.61;membership oh;6
7;1464;but solder;18234;4392.98;11341.6;11091.36;10895.07;18540.63;20645.2;cruelly instead shady;7
8;28197;blushing;16303;25337.97;9246.57;28335.64;5082.91;8371.57;4315.86;pip courteous;8
9;13249;thoughtfully careless convoke;14973;19745.29;25522.71;14442.73;22776.36;2662.48;27685.84;as kookily;9
10;15318;brr;20942;578.75;23395.61;5318.9;29452.72;31005.31;27178.71;since;10
