id;leg_index;status;departed_at;arrived_at;order_id;from_office_id;to_office_id
1;7060;IN_TRANSIT;2026-08-10T18:47:19;2026-08-11T14:18:21;1;1;1
2;16555;AT_DEST;2026-08-10T20:06:58;2026-08-11T06:06:33;2;2;2
3;4151;PENDING;2026-08-10T23:37:52;2026-08-11T07:05:08;3;3;3
4;6076;PENDING;2026-08-11T10:51:58;2026-08-11T11:19:57;4;4;4
5;23733;PENDING;2026-08-11T03:30:12;2026-08-11T12:10:20;5;5;5
6;23937;IN_TRANSIT;2026-08-11T13:23:17;2026-08-11T00:35:15;6;6;6
7;26476;PENDING;2026-08-11T15:15:38;2026-08-11T11:06:27;7;7;7
8;16778;AT_HUB;2026-08-11T00:32:17;2026-08-11T11:30:46;8;8;8
9;3357;PENDING;2026-08-10T22:58:29;2026-08-11T12:55:43;9;9;9
10;32275;AT_DEST;2026-08-11T09:37:19;2026-08-10T17:25:58;10;10;10
