id;payment_at;amount;method;payment_kind;note;collector_username;order_id
1;2026-08-10T15:38:58;31688.28;THE;HOAN;boohoo egg plan;blah ack;1
2;2026-08-11T12:27:12;13986.24;THE;TRUOC;ride;quickly;2
3;2026-08-11T14:40:33;20745.79;THE;COD;surprisingly;er outlaw faithfully;3
4;2026-08-11T03:21:41;8108.17;THE;COD;thump down correctly;requite;4
5;2026-08-11T13:09:17;21997.72;THE;COD;thankfully;geez meh scorn;5
6;2026-08-11T12:53:39;3492.31;THE;TRUOC;mmm;swerve so;6
7;2026-08-11T09:25:48;13748.28;THE;SAU;gratefully delirious fleck;unexpectedly but;7
8;2026-08-11T12:29:22;25899.16;TM;SAU;descendant;qua commercial seemingly;8
9;2026-08-10T20:36:32;29373.31;TM;HOAN;who;fondly granny;9
10;2026-08-10T18:58:37;30573.05;CK;TRUOC;atop huzzah;fraudster;10
