id;changed_at;changed_by_username;before_json;after_json;pricing_rule_id
1;2026-08-10T16:27:44;ethical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
2;2026-08-11T06:56:05;brochure bah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2
3;2026-08-10T19:16:01;ethyl;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;3
4;2026-08-10T20:10:04;although ice-cream miserably;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;4
5;2026-08-10T22:49:38;aw;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;5
6;2026-08-10T17:43:26;well uh-huh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;6
7;2026-08-11T13:46:56;ack;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;7
8;2026-08-11T12:29:13;hornet meanwhile snuggle;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8
9;2026-08-11T13:59:13;save;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;9
10;2026-08-10T18:08:10;cruel slowly though;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;10
