id;rule_code;tier_label;min_kg;max_kg;unit_price;surcharge_amount;dim_divisor;km_min;km_rate;step_gram;add_fee_amount;effective_from;effective_to;active;route_id
1;aged kindly delight;live out;3152.82;2656.72;23515.16;19333.11;11517;22758.76;15759.32;22476;22562.21;2026-08-11T06:57:16;2026-08-11T07:31:33;true;1
2;sonar;lest fatally;1325.52;11612.76;11323.52;300.5;14803;17419.42;29393.29;8866;11492.95;2026-08-10T23:18:16;2026-08-11T08:24:16;true;2
3;yowza;microchip fooey even;24194.4;14107.28;22466.09;18726.71;10301;21611.83;26303.48;7373;17448.34;2026-08-11T14:17:41;2026-08-10T16:56:28;true;3
4;unknown frizzy where;coaxingly where incidentally;30017.72;10070.68;7150.59;13748.82;26952;21154.35;31137.24;21018;10285.47;2026-08-11T15:06:34;2026-08-10T23:35:32;true;4
5;lighthearted fumigate;formamide axe ick;18485.88;28668.16;1605.02;20390.94;4019;6645.16;6261.97;19250;27955.45;2026-08-10T18:48:01;2026-08-10T19:14:06;true;5
6;entomb unsightly;up customise;107.81;10542.47;26835.72;11853.03;10408;24428.09;22071.33;30892;12519.78;2026-08-11T14:32:40;2026-08-11T04:54:26;true;6
7;freckle under and;frequent inside;22731.79;30665.65;9830.82;5535.7;23931;4080.82;28590.38;26197;25071.12;2026-08-10T20:03:49;2026-08-10T22:51:25;false;7
8;oof;however soon;15317.49;10013.65;11821.6;5969.51;10375;17218.03;3534.79;8610;1262.57;2026-08-10T20:40:32;2026-08-11T14:22:27;true;8
9;sans meh rough;passionate;21047.21;2796.85;23564.96;24205.94;4353;16040.78;5111.48;2933;25602.21;2026-08-11T11:55:07;2026-08-11T00:04:23;true;9
10;upon deeply oh;gah ruddy;14782.6;10200.72;16062.73;11222.56;9121;8540.91;1479.52;10041;21186.56;2026-08-11T03:31:25;2026-08-11T10:40:11;false;10
