id;group_name;product_name;current_price;applied_price;note;active
1;yet;wherever convection favorable;30488.62;27293.72;entire save;true
2;glorious;utterly pomelo;17904.55;17121.65;revere drab;false
3;hovercraft provided abnormally;yowza;6094.07;19878.74;emergent haze uncork;false
4;rosin;supposing;18424.29;4316.23;yowza;false
5;inspect instead;poorly but wisecrack;15025.09;13698.83;aside lampoon;false
6;quizzically debit;dual distant between;20482.91;102.26;silver;false
7;overplay violin secrecy;unless woot obtrude;3583.6;2957.33;er mean as;true
8;our variable salty;except why;5903.96;29478.04;even tremendously;false
9;till cooperative that;at oddly;3000.27;20415.08;attest queasily;false
10;whose;mockingly joshingly inwardly;7957.87;9547.18;rebound excitedly;false
