id;receipt_code;payer_name;payer_code;total_amount;created_at;created_by_username
1;unscramble courteous underneath;while with;pleasant sign;10478.2;2026-08-11T03:47:02;alb shell
2;consequently pro;known;now ouch once;27523.52;2026-08-11T06:23:51;jubilantly
3;resolve come;yowza;so;28457.62;2026-08-11T06:48:23;madly whereas hmph
4;reconsideration serpentine sarcastic;after;hole adult;19651.77;2026-08-11T05:21:23;suckle icy although
5;keenly unfortunately hover;minty upright excluding;fervently valiantly embalm;31032.51;2026-08-10T20:48:16;supposing masterpiece
6;ha unless psst;geez zowie since;whup skean;30894.7;2026-08-11T02:13:08;pulverize indolent
7;neaten upward;emphasize federate;up median outlaw;6233.28;2026-08-10T16:41:05;monasticism or meh
8;microchip where;as upon;eventually;14158.16;2026-08-11T10:10:31;arid
9;before geez;chime gratefully;meh whereas apud;20087.95;2026-08-11T03:58:27;preheat
10;anesthetize ack;forenenst whose;ouch of;28503.92;2026-08-11T14:10:27;outrageous
