id;staff_code;user_login;display_name;role_code;scope_all_offices;active;office_id
1;unabashedly woot under;switch larva finished;too turret worth;Q;true;true;1
2;near underneath injunction;unpleasant apud;information huzzah;DH;false;true;2
3;unsung by;trick;rapid;KT;false;false;3
4;geez search;aside alongside;unethically;BL;false;true;4
5;toe kookily;mountain;quiet;AD;false;true;5
6;once cap;earth who meanwhile;aha;DH;true;true;6
7;cow yowza;although upbeat airbus;prudent drat;DH;false;true;7
8;observe redact;vanadyl meander schedule;past drowse;KT;false;false;8
9;step-mother;vacation obediently;while below sans;DH;true;false;9
10;midst mid clearly;as turbulent;orderly over character;DH;false;true;10
