id;home_delivery_enabled;default_home_delivery_amount;cod_enabled;cod_percent;cod_min_fee;storage_enabled;storage_free_days;storage_fee_per_day;insurance_enabled;insurance_threshold;insurance_percent_under;insurance_percent_over;refund_enabled;refund_percent;updated_at
1;false;15617.79;false;30.72;25425.69;false;16218;7740.47;true;4089.68;91.06;3.64;false;62.58;2026-08-11T14:38:06
2;true;14425.89;false;87.92;4091.73;true;31502;8318.73;true;16365.63;32.43;52.69;false;69.66;2026-08-11T13:35:30
3;true;515.6;true;37.18;29474.22;true;6368;9705.61;true;6379.2;62.12;23.91;true;60.82;2026-08-10T17:19:24
4;true;24144.95;true;14.61;7699.01;false;27511;1200.59;true;16511.79;47.95;82.65;false;9.09;2026-08-10T18:18:14
5;true;19905.07;true;31.25;23830.69;false;25287;16540.08;false;22168.2;59.01;52.35;false;13.05;2026-08-10T17:23:41
6;true;5188.85;true;55.42;6129.59;false;25800;25242.02;false;31857.91;71.98;59.16;false;43.02;2026-08-11T00:19:11
7;false;18783.73;true;63.75;2799.72;true;20568;26426;true;23528.53;45.28;85.88;true;25.75;2026-08-11T08:55:09
8;false;25474.04;false;83.78;32134.1;true;20006;8883.92;false;26190.01;72.66;20.51;false;58.48;2026-08-11T05:43:21
9;true;19943.53;true;15.55;10705.72;false;22624;9469.83;false;2387.48;34.97;13.11;false;92.16;2026-08-11T09:33:08
10;false;24329.31;false;61.37;13041.89;true;23157;26689.91;true;6658.26;48.77;43.57;true;65.2;2026-08-11T08:43:48
