id;assignment_status;scanned_at;loaded_at;removed_at;remark;trip_id;order_id
1;REMOVED;2026-08-10T21:57:54;2026-08-11T06:21:57;2026-08-11T08:47:39;deform;1;1
2;LOADED;2026-08-11T13:56:26;2026-08-11T04:05:44;2026-08-10T23:34:16;diagram restfully;2;2
3;REMOVED;2026-08-10T22:42:07;2026-08-10T16:25:53;2026-08-11T01:02:17;how department;3;3
4;SCANNED;2026-08-10T17:13:57;2026-08-10T17:21:29;2026-08-11T12:48:29;overdue apprehensive;4;4
5;REMOVED;2026-08-10T18:07:24;2026-08-10T17:47:03;2026-08-10T23:26:46;solder flashy crafty;5;5
6;REMOVED;2026-08-11T11:52:41;2026-08-11T14:36:24;2026-08-11T06:57:22;truly inexperienced;6;6
7;LOADED;2026-08-11T08:23:19;2026-08-11T04:57:21;2026-08-10T23:19:48;determined;7;7
8;SCANNED;2026-08-11T09:35:06;2026-08-10T22:04:56;2026-08-11T14:33:26;unrealistic same;8;8
9;REMOVED;2026-08-10T16:27:58;2026-08-11T04:36:17;2026-08-11T13:39:38;oof eek black;9;9
10;LOADED;2026-08-11T01:17:37;2026-08-11T00:06:01;2026-08-11T03:12:55;yippee sleet gosh;10;10
